"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.date","Input.userid","Input.location","Input.bio","Input.asker","Input.posttext","Answer.ContainCyberbullying","Answer.CyberbullyingWords","Answer.OtherInfo","Answer.Severity","Approve","Reject"
"2NF3YOCCF0CPJOKGA3EIMXYGUDHTS4","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","47","","2PKVGULF395SAAA7I0J3RYNJ3PCPB0","A1N274L13ZKKI5","Approved","Thu Sep 29 17:06:16 GMT 2011","Thu Sep 29 17:06:56 GMT 2011","Thu Oct 06 17:06:56 GMT 2011","Fri Sep 30 05:39:27 PDT 2011","","","40","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: ayy yoo jordan yuh da bomb<br>A: ummmmmmmm","No","n/a","","0"
"27OSVQ8H88MQ8A8W5WMCM1RXNS4Q7Z","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","32","","273NVP3TVOK58J6WIJYQIOZFQHP415","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:07:38 GMT 2011","Thu Sep 29 17:07:44 GMT 2011","Thu Oct 06 17:07:44 GMT 2011","Fri Sep 30 05:39:27 PDT 2011","","","6","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","Mirabai","Q: did you know I love you? :D<br>A: awwwwwwwwww &","No","n/a","","0"
"27OSVQ8H88MQ8A8W5WMCM1RXNS4Q7Z","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","32","","2ABPPSI2KYEPZWCYM5CMAWJ3G1FRLI","A1VHFF2VC2XG7P","Approved","Thu Sep 29 17:15:33 GMT 2011","Thu Sep 29 17:15:40 GMT 2011","Thu Oct 06 10:15:40 PDT 2011","Fri Sep 30 05:39:27 PDT 2011","","","7","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","Mirabai","Q: did you know I love you? :D<br>A: awwwwwwwwww &","No","N/A","No cyber-bullying present in the text.","0"
"27OSVQ8H88MQ8A8W5WMCM1RXNS4Q7Z","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","32","","2UET6YTWX4H3V6C2LY09KI6IBI92X0","A1N274L13ZKKI5","Approved","Thu Sep 29 17:11:14 GMT 2011","Thu Sep 29 17:11:23 GMT 2011","Thu Oct 06 17:11:23 GMT 2011","Fri Sep 30 05:39:28 PDT 2011","","","9","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","Mirabai","Q: did you know I love you? :D<br>A: awwwwwwwwww &","No","n/a","","0"
"2F4NCWYB49F96WF8EMSJSNSTV5ZSOG","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","2","","25GX7H57DZKPTIR5XY8DQ25L0AOB12","A1FUKU9KLSJ9ZP","Approved","Thu Sep 29 20:36:07 GMT 2011","Thu Sep 29 20:36:14 GMT 2011","Thu Oct 06 13:36:14 PDT 2011","Fri Sep 30 05:39:28 PDT 2011","","","7","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: What was the best job you&apos;ve ever had?<br>A: never had one","No","n/a","","0"
"2F4NCWYB49F96WF8EMSJSNSTV5ZSOG","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","2","","2AXBMJTUHYW2UXC08VYS9WM1Y0VNIB","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:11:54 GMT 2011","Thu Sep 29 17:12:05 GMT 2011","Thu Oct 06 17:12:05 GMT 2011","Fri Sep 30 05:39:28 PDT 2011","","","11","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: What was the best job you&apos;ve ever had?<br>A: never had one","No","n/a","","0"
"2F4NCWYB49F96WF8EMSJSNSTV5ZSOG","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","2","","2WNHVKCJ011KGBRAOUBQ0618FV4792","A1N274L13ZKKI5","Approved","Thu Sep 29 17:19:21 GMT 2011","Thu Sep 29 17:19:35 GMT 2011","Thu Oct 06 17:19:35 GMT 2011","Fri Sep 30 05:39:28 PDT 2011","","","14","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: What was the best job you&apos;ve ever had?<br>A: never had one","No","n/a","","0"
"2O8EOZFYQS1C6X9FWIIDW4ICR2TLI1","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","45","","22KCXKNQY2RCXOTUGG53LR0KM97Q19","A1N274L13ZKKI5","Approved","Thu Sep 29 17:09:22 GMT 2011","Thu Sep 29 17:09:35 GMT 2011","Thu Oct 06 17:09:35 GMT 2011","Fri Sep 30 05:39:28 PDT 2011","","","13","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Who&apos;s the most beautiful person you know?<br>A: everyone","No","n/a","","0"
"2O8EOZFYQS1C6X9FWIIDW4ICR2TLI1","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","45","","26TVP9746OQ16RDHOBX7451QC3JL1E","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:03:39 GMT 2011","Thu Sep 29 17:03:59 GMT 2011","Thu Oct 06 17:03:59 GMT 2011","Fri Sep 30 05:39:28 PDT 2011","","","20","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Who&apos;s the most beautiful person you know?<br>A: everyone","No","n/a","","0"
"2O8EOZFYQS1C6X9FWIIDW4ICR2TLI1","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","45","","2QISCM6IAA2SSMHLBLROUKKAW9GKKF","A2A3YGFJHOPJHC","Approved","Thu Sep 29 17:22:39 GMT 2011","Thu Sep 29 17:22:57 GMT 2011","Thu Oct 06 10:22:57 PDT 2011","Fri Sep 30 05:39:29 PDT 2011","","","18","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Who&apos;s the most beautiful person you know?<br>A: everyone","No","n/a","","0"
"23SZHHRRLFQ02RAM82SKLO9E6F6OFU","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","36","","2IAUB2YU98JH6X82K6RFFJ9IG2GMA6","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:04:34 GMT 2011","Thu Sep 29 17:04:47 GMT 2011","Thu Oct 06 17:04:47 GMT 2011","Fri Sep 30 05:39:29 PDT 2011","","","13","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: If you could instantly become an expert at one style of dance  what style would you pick?<br>A: ummm  contemperary","No","n/a","","0"
"23SZHHRRLFQ02RAM82SKLO9E6F6OFU","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","36","","2M8W40SPW1IN0L3P7PA3RAB636KE1M","A1VHFF2VC2XG7P","Approved","Thu Sep 29 17:14:06 GMT 2011","Thu Sep 29 17:14:14 GMT 2011","Thu Oct 06 17:14:14 GMT 2011","Fri Sep 30 05:39:29 PDT 2011","","","8","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: If you could instantly become an expert at one style of dance  what style would you pick?<br>A: ummm  contemperary","No","N/A","No cyber-bullying present in the text.","0"
"23SZHHRRLFQ02RAM82SKLO9E6F6OFU","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","36","","2NAPDOBDDP8PX07LUYZXQB3QV0Y2DZ","A1N274L13ZKKI5","Approved","Thu Sep 29 17:16:39 GMT 2011","Thu Sep 29 17:17:05 GMT 2011","Thu Oct 06 10:17:05 PDT 2011","Fri Sep 30 05:39:29 PDT 2011","","","26","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: If you could instantly become an expert at one style of dance  what style would you pick?<br>A: ummm  contemperary","No","n/a","","0"
"27PQ67051QKC1VOTAB311MGIQJ9FZN","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","24","","2GMFBNFSVGULT7WW9HXNK1FSVEW6KW","A1N274L13ZKKI5","Approved","Thu Sep 29 17:14:54 GMT 2011","Thu Sep 29 17:15:27 GMT 2011","Thu Oct 06 17:15:27 GMT 2011","Fri Sep 30 05:39:29 PDT 2011","","","33","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: wait what ????r<br>A: ur boo  r r ur new boyfreind :)","No","n/a","","0"
"27PQ67051QKC1VOTAB311MGIQJ9FZN","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","24","","2HOGKCCVLL3CO7QDYVGQ8C9NIL5W6I","A2JKCS6UCAUARS","Approved","Thu Sep 29 17:25:04 GMT 2011","Thu Sep 29 17:25:19 GMT 2011","Thu Oct 06 10:25:19 PDT 2011","Fri Sep 30 05:39:29 PDT 2011","","","15","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: wait what ????r<br>A: ur boo  r r ur new boyfreind :)","No","n/a","","0"
"27PQ67051QKC1VOTAB311MGIQJ9FZN","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","24","","2IAUB2YU98JH6X82K6RFFJ9IG2HMA7","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:17:02 GMT 2011","Thu Sep 29 17:18:09 GMT 2011","Thu Oct 06 17:18:09 GMT 2011","Fri Sep 30 05:39:30 PDT 2011","","","67","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: wait what ????r<br>A: ur boo  r r ur new boyfreind :)","No","n/a","","0"
"27IONNVRH1KH2D178WY6RV9LAK1XOT","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","26Q2AOO2GMMEUSB77D3MAIAAUJC66R","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:13:03 GMT 2011","Thu Sep 29 17:13:22 GMT 2011","Thu Oct 06 17:13:22 GMT 2011","Fri Sep 30 05:39:30 PDT 2011","","","19","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: duhhhh :)r<br>A: haha  r r i love you girl r r i heard someone ot a new boyyy r r i saw a pic of dat fool r r he is a cutie","","n/a","","0"
"27IONNVRH1KH2D178WY6RV9LAK1XOT","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","2790JPPSI2KYST8J6SWKPM6WBUMPJM","A1N274L13ZKKI5","Approved","Thu Sep 29 17:19:13 GMT 2011","Thu Sep 29 17:19:21 GMT 2011","Thu Oct 06 17:19:21 GMT 2011","Fri Sep 30 05:39:30 PDT 2011","","","8","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: duhhhh :)r<br>A: haha  r r i love you girl r r i heard someone ot a new boyyy r r i saw a pic of dat fool r r he is a cutie","No","n/a","","0"
"27IONNVRH1KH2D178WY6RV9LAK1XOT","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","2N867D1X3V0FY4ZF1NAE5M7PCB8JC3","A2JKCS6UCAUARS","Approved","Thu Sep 29 17:26:33 GMT 2011","Thu Sep 29 17:26:45 GMT 2011","Thu Oct 06 10:26:45 PDT 2011","Fri Sep 30 05:39:30 PDT 2011","","","12","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: duhhhh :)r<br>A: haha  r r i love you girl r r i heard someone ot a new boyyy r r i saw a pic of dat fool r r he is a cutie","Yes","a pic of that fool","","1"
"28J4IXKO2L92VIZNRRO32OCC5O7DCB","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","25","","2CTO3W5XH0JP3W5T1J5PPSP7XBJJD2","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:16:04 GMT 2011","Thu Sep 29 17:16:15 GMT 2011","Thu Oct 06 10:16:15 PDT 2011","Fri Sep 30 05:39:30 PDT 2011","","","11","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Well my 8th grade year yur 7th grade year<br>A: ummmmm danielle dixion???","No","n/a","","0"
"28J4IXKO2L92VIZNRRO32OCC5O7DCB","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","25","","2KMC26DG67D1B7IRW5RCSK2J6SJ7EB","A1VHFF2VC2XG7P","Approved","Thu Sep 29 17:13:46 GMT 2011","Thu Sep 29 17:13:59 GMT 2011","Thu Oct 06 17:13:59 GMT 2011","Fri Sep 30 05:39:30 PDT 2011","","","13","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Well my 8th grade year yur 7th grade year<br>A: ummmmm danielle dixion???","No","N/A","No cyber-bullying present in the text.","0"
"28J4IXKO2L92VIZNRRO32OCC5O7DCB","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","25","","2SL3HVWAVKI6GR6HJMY2399Q9X8GOR","A3NIEI02LTB4S6","Approved","Thu Sep 29 17:04:45 GMT 2011","Thu Sep 29 17:04:55 GMT 2011","Thu Oct 06 17:04:55 GMT 2011","Fri Sep 30 05:39:30 PDT 2011","","","10","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Well my 8th grade year yur 7th grade year<br>A: ummmmm danielle dixion???","No","n/a","","0"
"2F736XBAT2D51ULEM0UQ4JG5JMH04S","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","259VKCJ011K2L86YQ5HWA18NWXS8A5","A1VHFF2VC2XG7P","Approved","Thu Sep 29 17:13:08 GMT 2011","Thu Sep 29 17:13:23 GMT 2011","Thu Oct 06 17:13:23 GMT 2011","Fri Sep 30 05:39:31 PDT 2011","","","15","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: ayy yoo jordan yuh da bomb diggady :)r this is yur favorite black person since lik 8th grade :. who am i? get it right or ill b hela mad lmao<br>A: ummmmmmmmmmmmmmmm r r give me more hints r r please :)","No","N/A","No cyber-bullying present in the text.","0"
